Bhajan name,Bhajan Link 
Lali Mere Lal Ki - Ram Rang Laga,https://www.ibiblio.org/ram/audio/cd_06_04.mp3
Lele Dard Paraya Karde Door Gum Ka Saya,https://www.ibiblio.org/ram/audio/cd_09_08.mp3
Laaiyna Tod Nibhai Saaiyna,https://www.ibiblio.org/ram/audio/cd_09_10.mp3
Mere Rom Rom Shree Ram Pukaare,https://www.ibiblio.org/ram/audio/bhj01_a2.mp3
Manjhi Kitni Door Kinara,https://www.ibiblio.org/ram/audio/bhj01_a3.mp3
Maharaj Kripalu Bare,https://www.ibiblio.org/ram/audio/bhj01_b1.mp3
Mere Raam Rai,https://www.ibiblio.org/ram/audio/bhj01_b4.mp3
Maiya Mohe Mangal Darshan Deeje,https://www.ibiblio.org/ram/audio/bhj02_a2.mp3
Mangal Mandir Kholo Dayamay,https://www.ibiblio.org/ram/audio/bhj03_a2.mp3
Meri Jhonpari De Bhaag Aaj,https://www.ibiblio.org/ram/audio/bhj04_b3.mp3
Man Chanchal Chal Ram Sharan Mein,https://www.ibiblio.org/ram/audio/bhj05_a1.mp3
Main Patit Puratan Teri Sharan,https://www.ibiblio.org/ram/audio/bhj05_a2.mp3
Mere Swami Antaryami,https://www.ibiblio.org/ram/audio/bhj05_b1.mp3
"Mujhpe Itni Kripa Bus Vidhata Rahe, Ram Ka Naam Hothon Pe Aata Rahe",https://www.ibiblio.org/ram/audio/bhj06_b1.mp3
Main Nahin Mera Nahin,https://www.ibiblio.org/ram/audio/bhj07_a1.mp3
Main Nahin Mera Nahin,https://www.ibiblio.org/ram/audio/bhj11b2.mp3
Man Matvaale Ram Gunn Gaale,https://www.ibiblio.org/ram/audio/bhj07_a3.mp3
Mere to Bas Ek Hi Ram,https://www.ibiblio.org/ram/audio/bhj07_b2.mp3
Maiya Baras Baras Rasvaari Re,https://www.ibiblio.org/ram/audio/bhj07_b3.mp3
Manjil-Manjil,https://www.ibiblio.org/ram/audio/bh0816b2.mp3
Meri Banh Pakad Lo Ek Baar,https://www.ibiblio.org/ram/audio/bh10b364.mp3
Mere Man Mandir Mein Ram Virajein,https://www.ibiblio.org/ram/audio/bhj12a1.mp3
"Mere Ram Garib Nawaz, Ab",https://www.ibiblio.org/ram/audio/bhj12a2.mp3
Mere Ram Raghunath Teri Jai Hove,https://www.ibiblio.org/ram/audio/bhj13b2.mp3
Main to Unn Santno Ka Dass,https://www.ibiblio.org/ram/audio/cd_06_05.mp3
